Name,MOF Checker Issues
ALIDIL_ASR,no issues
ALIDIL_FSR,no issues
c7dt03758a2_1_ION_A,['has_lone_molecule']
c7dt03758a2_1_ION_F,['has_lone_molecule']
c7dt03758a2_2_ION_A,['has_lone_molecule']
c7dt03758a2_2_ION_F,['has_lone_molecule']
c7dt03758a2_3_ASR,no issues
c7dt03758a2_3_FSR,['has_overcoordinated_c']
c7dt03758a2_4_ASR,['has_geometrically_exposed_metal']
c7dt03758a2_4_FSR,no issues
c7dt03758a2_5_FSR,no issues
c7dt03758a2_5_ION_A,no issues
c7dt03758a2_5_ION_F,"['has_lone_molecule', 'has_metal']"
c7dt03758a2_6_FSR,no issues
c7dt03758a2_6_ION_A,no issues
